GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
worker,worker,Worker,151,94,9,9,51,21,10,8,4,5
worker,worker,Worker.Vote,0,9,0,0,0,1,0,1,0,1
